,DrugA,DrugB
46195,Sirolimus,Ivacaftor
46196,Saquinavir,Ivacaftor
46197,Azelastine,Flibanserin
46198,Chloroquine,Prilocaine
46199,Chlorpropamide,Nilotinib
46200,Gliclazide,Everolimus
46201,Phenoxybenzamine,Moxonidine
46202,Cilostazol,St. John's Wort
46203,Anistreplase,Escitalopram
46204,Metyrosine,Fexofenadine
46205,Boceprevir,Cabozantinib
46206,Regorafenib,Stiripentol
46207,Cisatracurium,Nitrendipine
46208,Canagliflozin,Aliskiren
46209,Ethanol,Amobarbital
46210,Amphetamine,Olodaterol
46211,Reserpine,Almotriptan
46212,Thiothixene,Vemurafenib
46213,Fidaxomicin,Picosulfuric acid
46214,Cabergoline,Nadolol
46215,St. John's Wort,Pipotiazine
46216,Glucagon,Indomethacin
46217,Mefenamic acid,Edetic acid
46218,Trifluoperazine,Amisulpride
46219,Tacrine,Clofedanol
46220,Levocabastine,Tapentadol
46221,Metolazone,Butorphanol
46222,Baclofen,Buspirone
46223,Primidone,Methotrimeprazine
46224,Desloratadine,Ramosetron
46225,Orphenadrine,Suvorexant
46226,Captopril,Aprotinin
46227,Deferasirox,Telaprevir
46228,Atazanavir,Dienogest
46229,Ospemifene,Bazedoxifene
46230,Bosentan,Trazodone
46231,Ciprofloxacin,Tasimelteon
46232,Methylphenidate,Clenbuterol
46233,Reteplase,Ketorolac
46234,Magnesium sulfate,Ramelteon
46235,Ondansetron,Panobinostat
46236,Urokinase,Desvenlafaxine
46237,Caffeine,Stiripentol
46238,Romidepsin,Cobicistat
46239,Indinavir,Cilostazol
46240,Bendroflumethiazide,Molsidomine
46241,Sertraline,Iobenguane
46242,Lorazepam,Efavirenz
46243,Estazolam,Sodium oxybate
46244,Sulodexide,Edoxaban
46245,Rituximab,Furosemide
46246,Citalopram,
46247,Zopiclone,Darunavir
46248,Levorphanol,Tapentadol
46249,Atracurium besylate,Risedronic acid
46250,Alosetron,Ceritinib
46251,Prochlorperazine,Ergoloid mesylate
46252,Perphenazine,Pramlintide
46253,Acetylsalicylic acid,Dexketoprofen
46254,Voriconazole,Ergometrine
46255,Urokinase,Escitalopram
46256,Butabarbital,Methotrimeprazine
46257,Dipyridamole,
46258,Minocycline,Magnesium oxide
46259,Cyclosporine,Amikacin
46260,Irbesartan,Heptabarbital
46261,Mifepristone,Vorinostat
46262,Acetophenazine,Nefazodone
46263,,Clozapine
46264,Cisatracurium,Gabapentin
46265,Fenoterol,Articaine
46266,Leflunomide,Siltuximab
46267,Teniposide,Tesmilifene
46268,Methotrexate,Cyclacillin
46269,Nicardipine,Butobarbital
46270,Phenytoin,Cyproterone acetate
46271,Etoposide,Ivacaftor
46272,Clarithromycin,Telaprevir
46273,Regorafenib,Dabrafenib
46274,Bosentan,Avanafil
46275,Rifampicin,Mirabegron
46276,Rivastigmine,Metipranolol
46277,Phentolamine,Tranylcypromine
46278,Ticlopidine,Cyclophosphamide
46279,Fluphenazine,Fentanyl
46280,Benzquinamide,Desipramine
46281,Hetacillin,Tetracycline
46282,Estradiol,Ethyl biscoumacetate
46283,Phenytoin,Romidepsin
46284,Remoxipride,Rasagiline
46285,Carisoprodol,Paraldehyde
46286,Amikacin,Celecoxib
46287,Perampanel,Dexchlorpheniramine maleate
46288,Nevirapine,Mitotane
46289,Sulfisoxazole,Secobarbital
46290,Risperidone,Paraldehyde
46291,Brimonidine,Paliperidone
46292,Leuprolide,Promazine
46293,Nortriptyline,Fencamfamin
46294,Octreotide,Bedaquiline
46295,Streptozocin,Denosumab
46296,Cefdinir,Spectinomycin
46297,Lurasidone,Siltuximab
46298,Amphetamine,Ammonium chloride
46299,Zuclopenthixol,Vortioxetine
46300,Amikacin,Alendronic acid
46301,Bortezomib,Delavirdine
46302,Mitotane,Tacrolimus
46303,Zolpidem,Rufinamide
46304,Drospirenone,Alogliptin
46305,Duloxetine,Terazosin
46306,Voriconazole,Perhexiline
46307,Ethanol,Levocetirizine
46308,Nisoldipine,Moxonidine
46309,Sorafenib,Denosumab
46310,Guanfacine,Ketoconazole
46311,Oxazepam,Sodium oxybate
46312,Ketorolac,Haloperidol
46313,Doxycycline,Bacampicillin
46314,Chlorotrianisene,Boceprevir
46315,Pentobarbital,Valproic acid
46316,Loxapine,Tapentadol
46317,Alogliptin,Pasireotide
46318,Ibritumomab tiuxetan,Clozapine
46319,Zuclopenthixol,Telaprevir
46320,Midodrine,Metipranolol
46321,Lercanidipine,Simvastatin
46322,Heptabarbital,Penbutolol
46323,Terbutaline,Acebutolol
46324,Deferasirox,Daclatasvir
46325,Cyclizine,Aclidinium
46326,Streptokinase,Tolmetin
46327,Sertraline,Sertindole
46328,Oxandrolone,Insulin glulisine
46329,Pindolol,Dipyridamole
46330,Cabergoline,Carvedilol
46331,Rifampicin,Eliglustat
46332,Tirofiban,Sulodexide
46333,Baclofen,Ropinirole
46334,Gemtuzumab ozogamicin,Trastuzumab
46335,Aprepitant,Atorvastatin
46336,Eplerenone,Candesartan cilexetil
46337,Brimonidine,Heptabarbital
46338,Bupropion,Tedizolid phosphate
46339,Amobarbital,Rotigotine
46340,Linezolid,Moclobemide
46341,Quinidine,Colchicine
46342,Torasemide,Butorphanol
46343,Benzquinamide,Vilazodone
46344,Citric acid,Vilazodone
46345,Fesoterodine,Eluxadoline
46346,Leflunomide,
46347,Zuclopenthixol,Quinagolide
46348,Desipramine,Thiothixene
46349,Ritonavir,Boceprevir
46350,Celecoxib,Porfimer sodium
46351,Amikacin,Azlocillin
46352,Frovatriptan,Metoclopramide
46353,Enoxaparin,Hydroxyprogesterone caproate
46354,Docetaxel,St. John's Wort
46355,Phenytoin,Fosphenytoin
46356,Trastuzumab,Azacitidine
46357,Etonogestrel,Rifabutin
46358,Oxytetracycline,Magnesium citrate
46359,Phenelzine,Domperidone
46360,Nelfinavir,Famotidine
46361,Carisoprodol,Metyrosine
46362,Lisinopril,Amifostine
46363,Ethanol,Cefotetan
46364,Natalizumab,Mercaptopurine
46365,Sulfisoxazole,St. John's Wort
46366,Saquinavir,Ivabradine
46367,Promazine,Mifepristone
46368,Glipizide,Sparfloxacin
46369,Atomoxetine,Delavirdine
46370,Butalbital,Phenylpropanolamine
46371,Clindamycin,Kaolin
46372,Midodrine,Dextroamphetamine
46373,Primidone,Prednisolone
46374,Mirtazapine,Dabrafenib
46375,Formoterol,Indacaterol
46376,Deferasirox,
46377,Trichlormethiazide,Vilazodone
46378,Fosphenytoin,Vilazodone
46379,Trihexyphenidyl,Cimetropium
46380,Peginterferon alfa-2b,Pomalidomide
46381,Desloratadine,Trichlormethiazide
46382,Labetalol,Sufentanil
46383,Cimetidine,Praziquantel
46384,,Doxylamine
46385,Porfimer sodium,Trioxsalen
46386,Amoxapine,Molindone
46387,Tranexamic acid,Dienogest
46388,Ketamine,Idelalisib
46389,Methadone,Flupentixol
46390,Capromab pendetide,Flutamide
46391,Trazodone,Ethanol
46392,Phenmetrazine,Tedizolid phosphate
46393,Calcium acetate,Perhexiline
46394,Trimipramine,Paliperidone
46395,Methyldopa,Butobarbital
46396,Treprostinil,Acenocoumarol
46397,Pimecrolimus,Glatiramer
46398,Buserelin,Corifollitropin alfa
46399,Idelalisib,Sonidegib
46400,Phenelzine,Terbutaline
46401,Tenofovir disoproxil,Oxaprozin
46402,Hydroxyzine,Ketamine
46403,Lipoic acid,Sitagliptin
46404,Topiramate,Desipramine
46405,Sildenafil,Voriconazole
46406,Voriconazole,Everolimus
46407,Mitotane,Brentuximab vedotin
46408,Icosapent,Heparin
46409,Sunitinib,Deferasirox
46410,Tolterodine,Panobinostat
46411,Sulpiride,Dextromethorphan
46412,Repaglinide,Diazoxide
46413,Felodipine,Ivacaftor
46414,Topiramate,Cathinone
46415,Treprostinil,Paroxetine
46416,Bisoprolol,Aprepitant
46417,Sulpiride,Pimozide
46418,Mefloquine,Palbociclib
46419,Botulinum toxin type A,Methotrimeprazine
46420,Cocaine,Formoterol
46421,Diethylpropion,Isocarboxazid
46422,Escitalopram,Tocilizumab
46423,Rifampicin,Gliclazide
46424,Droperidol,Hydrocodone
46425,Floxuridine,Fluoxetine
46426,Bosentan,Lapatinib
46427,Mesoridazine,Tedizolid phosphate
46428,Leuprolide,Vardenafil
46429,Diclofenamide,Metamfetamine
46430,Olanzapine,Saxagliptin
46431,Ipratropium,Ramosetron
46432,Lomustine,Sipuleucel-T
46433,Phenytoin,Clarithromycin
46434,Silodosin,Vemurafenib
46435,Abciximab,Omega-3-acid ethyl esters
46436,Colistin,Picosulfuric acid
46437,Treprostinil,Obinutuzumab
46438,Insulin detemir,Everolimus
46439,Reserpine,Ergotamine
46440,Metamizole,Ruxolitinib
46441,Prednisone,Atazanavir
46442,Insulin human,Nelfinavir
46443,Nitric Oxide,Quinine
46444,Nefazodone,Lacosamide
46445,Ritonavir,Toremifene
46446,Tacrolimus,Blinatumomab
46447,Chlorothiazide,Linagliptin
46448,Pimozide,Dronedarone
46449,Goserelin,Pazopanib
46450,Morphine,Glycopyrronium
46451,Felodipine,Bepridil
46452,Chlorthalidone,Verteporfin
46453,Deferasirox,Floctafenine
46454,Streptokinase,Fenoprofen
46455,Alteplase,Rivaroxaban
46456,Abciximab,Dalteparin
46457,Sufentanil,Phenelzine
46458,Quetiapine,Saxagliptin
46459,Tramadol,Ketoconazole
46460,Chlordiazepoxide,gamma-Hydroxybutyric acid
46461,Mecamylamine,Chlorothiazide
46462,Paroxetine,Flupentixol
46463,Fosaprepitant,Ruxolitinib
46464,Benzquinamide,Metamfetamine
46465,Verapamil,Carvedilol
46466,Verapamil,Palbociclib
46467,Clonazepam,Tapentadol
46468,Bexarotene,Cobimetinib
46469,Ketoconazole,Prucalopride
46470,Itraconazole,Ledipasvir
46471,Erythromycin,Gliquidone
46472,Voriconazole,Amphotericin B
46473,Amitriptyline,Secobarbital
46474,Tolterodine,Tocilizumab
46475,Scopolamine,Thalidomide
46476,Mitotane,Flibanserin
46477,Trastuzumab,Vinblastine
46478,Sulfadiazine,
46479,Fosinopril,Temsirolimus
46480,Medroxyprogesterone acetate,Deferasirox
46481,Conivaptan,Olaparib
46482,Voriconazole,Tolazamide
46483,Deferiprone,Calcium citrate
46484,Desmopressin,Meloxicam
46485,Nabumetone,Diclofenac
46486,Bortezomib,Acetylsalicylic acid
46487,Isradipine,Tadalafil
46488,Quinidine,Dabigatran etexilate
46489,Rivastigmine,Ceritinib
46490,Fluvoxamine,Paroxetine
46491,Hydroxyzine,Desloratadine
46492,Erythromycin,Eplerenone
46493,Infliximab,Balsalazide
46494,Metolazone,Tolbutamide
46495,Loxapine,Amantadine
46496,Linezolid,Paroxetine
46497,Pentobarbital,Mirtazapine
46498,Remoxipride,Galantamine
46499,Allopurinol,Captopril
46500,Rifabutin,Ifosfamide
46501,Granisetron,Selegiline
46502,Ruxolitinib,Poractant alfa
46503,Chlorzoxazone,Ethanol
46504,Mecamylamine,Kanamycin
46505,Dicoumarol,Estradiol
46506,Butabarbital,Dinutuximab
46507,Itraconazole,Crizotinib
46508,Methyldopa,Nadolol
46509,Fluoxetine,Ioflupane I-123
46510,Cloxazolam,Sodium oxybate
46511,Aprepitant,Panobinostat
46512,Tenecteplase,Iloprost
46513,Cabergoline,Sumatriptan
46514,Norgestimate,Insulin aspart
46515,Trimethoprim,Amodiaquine
46516,Trastuzumab,Daunorubicin
46517,Clemastine,Itopride
46518,Deferasirox,Enzalutamide
46519,Eletriptan,Prochlorperazine
46520,Deferasirox,Idelalisib
46521,Dacarbazine,Tacrolimus
46522,Deoxycholic acid,Citric acid
46523,Pentobarbital,Isoxsuprine
46524,Chlorpropamide,Cortisone acetate
46525,Doxapram,Benzphetamine
46526,Estradiol,Heparin
46527,Trichlormethiazide,Tapentadol
46528,Morphine,Rifapentine
46529,Norgestimate,Ethyl biscoumacetate
46530,Methocarbamol,Zolpidem
46531,Tramadol,Rizatriptan
46532,Phenytoin,Flunitrazepam
46533,Ropinirole,Mexiletine
46534,Etacrynic acid,Alogliptin
46535,Secobarbital,Lisinopril
46536,Olanzapine,Benzphetamine
46537,Potassium chloride,Tolterodine
46538,Framycetin,Carboplatin
46539,Lidocaine,St. John's Wort
46540,Anagrelide,Rivaroxaban
46541,Mannitol,Neomycin
46542,Diflunisal,Glucosamine
46543,Ticlopidine,Glucosamine
46544,Trichlormethiazide,Mepenzolate
46545,Dronabinol,Efavirenz
46546,Tramadol,Tranylcypromine
46547,Risperidone,Apraclonidine
46548,Glimepiride,Canagliflozin
46549,Lorazepam,Dronabinol
46550,Peginterferon alfa-2b,Tetrabenazine
46551,Nimodipine,Medroxyprogesterone acetate
46552,Nabilone,Propofol
46553,Indinavir,Doxorubicin
46554,Oxcarbazepine,Indapamide
46555,Icosapent,Cortisone acetate
46556,Rifampicin,Netupitant
46557,Butalbital,Amitriptyline
46558,Chlorthalidone,Colesevelam
46559,Risperidone,Acetazolamide
46560,Primidone,Zuclopenthixol
46561,Interferon alfacon-1,Theophylline
46562,Glipizide,
46563,Imipramine,Nebivolol
46564,Oxymorphone,Isocarboxazid
46565,St. John's Wort,Cabazitaxel
46566,Protriptyline,Zolpidem
46567,Telaprevir,Tolvaptan
46568,Isoflurane,Rufinamide
46569,Neomycin,Cefuroxime
46570,Insulin glargine,Pegvisomant
46571,Alogliptin,Ceritinib
46572,Amphetamine,Butorphanol
46573,Bivalirudin,Alteplase
46574,Octreotide,Rivastigmine
46575,Itraconazole,Netupitant
46576,Vancomycin,Cisatracurium
46577,Fluconazole,Cyproterone acetate
46578,Fluoxetine,Phenindione
46579,Frovatriptan,Chlorprothixene
46580,Infliximab,Sotalol
46581,Methoxsalen,Tizanidine
46582,Hydrocortisone,Mifepristone
46583,Etacrynic acid,Insulin glulisine
46584,Sparfloxacin,Aluminum hydroxide
46585,Ritonavir,Paroxetine
46586,Lansoprazole,Tipranavir
46587,Phenelzine,Salmeterol
46588,Metolazone,Nicorandil
46589,Spironolactone,Dopamine
46590,Cysteamine,Calcium carbonate
46591,Ciprofloxacin,Magnesium oxide
46592,Ranolazine,Bosutinib
46593,Azithromycin,Ivabradine
46594,Alprazolam,Pramipexole
46595,Ritonavir,Panobinostat
46596,Amphetamine,Acetophenazine
46597,Roflumilast,Ustekinumab
46598,Morphine,Meclizine
46599,Sulfamethoxazole,Insulin aspart
46600,Drospirenone,Tiaprofenic acid
46601,Phenobarbital,Everolimus
46602,Tinzaparin,Ibrutinib
46603,Baclofen,Paraldehyde
46604,Sildenafil,Losartan
46605,Citalopram,Sulfamethoxazole
46606,gamma-Hydroxybutyric acid,Cloxazolam
46607,Clozapine,Olaparib
46608,Aprepitant,Diazepam
46609,Amphetamine,Methazolamide
46610,Verapamil,Simeprevir
46611,Quinidine,Sodium bicarbonate
46612,Methoxamine,Salbutamol
46613,Pimozide,Levomilnacipran
46614,Aprepitant,Felbamate
46615,Phenytoin,Alfuzosin
46616,Fludrocortisone,Vildagliptin
46617,Levothyroxine,Orlistat
46618,Tramadol,Abiraterone
46619,Dronabinol,Darunavir
46620,Digoxin,Dihydrotachysterol
46621,Flupentixol,Ramosetron
46622,Hydroxyurea,Sipuleucel-T
46623,Rituximab,Nebivolol
46624,Trifluoperazine,Abiraterone
46625,Indinavir,Delavirdine
46626,Lorazepam,Citalopram
46627,Metaraminol,Phendimetrazine
46628,Entacapone,Tapentadol
46629,Terazosin,Nadolol
46630,Buspirone,Phenelzine
46631,Olanzapine,Aripiprazole
46632,Oxybutynin,Ceritinib
46633,Phenobarbital,Brentuximab vedotin
46634,Glucagon,Prochlorperazine
46635,Levocetirizine,Betahistine
46636,Fluvoxamine,Acenocoumarol
46637,Eplerenone,Conivaptan
46638,Nitroprusside,Nimodipine
46639,Tramadol,Butorphanol
46640,Cisplatin,Neomycin
46641,Rifabutin,Norgestimate
46642,Acetaminophen,Hexobarbital
46643,Zolpidem,St. John's Wort
46644,Sulindac,Acetylsalicylic acid
46645,Phentermine,Chlorprothixene
46646,Mecamylamine,Gentamicin
46647,Verapamil,Siltuximab
46648,Trastuzumab,Dinutuximab
46649,Flucytosine,Gimeracil
46650,Disopyramide,Tolbutamide
46651,Lansoprazole,Methotrexate
46652,Nicardipine,Idelalisib
46653,Insulin human,Stanolone
46654,Ramipril,Telmisartan
46655,Capromab pendetide,Enzalutamide
46656,Apixaban,Idelalisib
46657,Fentanyl,Trichlormethiazide
46658,Nizatidine,Dasatinib
46659,Chlorpromazine,Cyclobenzaprine
46660,Bretylium,Dronedarone
46661,Magnesium sulfate,Perphenazine
46662,Estramustine,Calcium gluconate
46663,Quinine,Conivaptan
46664,Doxycycline,Iron sucrose
46665,Phentermine,Benzphetamine
46666,Torasemide,Diazoxide
46667,Tacrolimus,Teriflunomide
46668,Tiaprofenic acid,Dalteparin
46669,Butabarbital,Rifabutin
46670,Dofetilide,Lamotrigine
46671,Mequitazine,Aripiprazole
46672,Dexamethasone,Insulin aspart
46673,Amphetamine,Rasagiline
46674,Cetirizine,Azelastine
46675,Nabilone,Flunarizine
46676,Iron Dextran,Cilazapril
46677,Peginterferon alfa-2b,Methadone
46678,Vilazodone,
46679,Carbamazepine,Paraldehyde
46680,Netupitant,Palbociclib
46681,Fondaparinux,Omega-3-acid ethyl esters
46682,Metoclopramide,Ergometrine
46683,Progesterone,Everolimus
46684,Pimozide,Eluxadoline
46685,Citalopram,Vardenafil
46686,Fluconazole,Rabeprazole
46687,Brompheniramine,Itopride
46688,Probenecid,
46689,Aldesleukin,Bretylium
46690,Amphetamine,Trifluoperazine
46691,Capreomycin,Cisatracurium
46692,Cyproheptadine,Perampanel
46693,Phenelzine,Sertindole
46694,Clodronic acid,Ribostamycin
46695,Orciprenaline,Isocarboxazid
46696,Meprobamate,Yohimbine
46697,Telaprevir,Nintedanib
46698,Bexarotene,Clozapine
46699,Maraviroc,Tocilizumab
46700,Caffeine,Ritodrine
46701,Insulin human,
46702,Flunisolide,Ceritinib
46703,Theophylline,Orciprenaline
46704,Tranylcypromine,Liraglutide
46705,Nortriptyline,Acetophenazine
46706,Midazolam,Simeprevir
46707,Pentobarbital,Somatostatin
46708,Rivastigmine,Acetophenazine
46709,Tamoxifen,Clomipramine
46710,Moclobemide,Paliperidone
46711,Succinylcholine,Neostigmine
46712,Lisinopril,Sitagliptin
46713,Oxcarbazepine,Chlorothiazide
46714,Bexarotene,Sonidegib
46715,Carbamazepine,Bendamustine
46716,Infliximab,Clodronic acid
46717,Prilocaine,Isosorbide dinitrate
46718,Piroxicam,Diclofenac
46719,Chlorthalidone,Procyclidine
46720,Telithromycin,Pimozide
46721,Hydroxyzine,Tiagabine
46722,Imiquimod,Denosumab
46723,Gliclazide,Buserelin
46724,Tolmetin,Rivaroxaban
46725,Diltiazem,Dantrolene
46726,Phenelzine,Procarbazine
46727,Tesmilifene,Pazopanib
46728,Chlorpropamide,Arsenic trioxide
46729,Ramipril,Everolimus
46730,Prochlorperazine,Trazodone
46731,Fluoxetine,Buspirone
46732,Rifampicin,Cabozantinib
46733,Sertraline,Acenocoumarol
46734,Capromab pendetide,Ganirelix
46735,Abciximab,Ticlopidine
46736,Esmolol,Treprostinil
46737,Fluvoxamine,Darifenacin
46738,Alteplase,Escitalopram
46739,Dydrogesterone,Nadroparin
46740,Alprazolam,Ketoconazole
46741,Danaparoid,Ethyl biscoumacetate
46742,Atazanavir,Stiripentol
46743,Methoxamine,Articaine
46744,Nevirapine,Saxagliptin
46745,Dicoumarol,Clarithromycin
46746,Prazosin,Sotalol
46747,Cephalexin,Zinc sulfate
46748,Dyphylline,Iobenguane
46749,Mefenamic acid,Streptomycin
46750,Sertraline,Tedizolid phosphate
46751,Methadone,Tienilic acid
46752,Dronabinol,Clarithromycin
46753,Vitamin E,Diclofenac
46754,Prochlorperazine,Sumatriptan
46755,Magnesium salicylate,Acenocoumarol
46756,Atorvastatin,Etravirine
46757,Ethosuximide,Paraldehyde
46758,Cefixime,Tobramycin
46759,Fusidic acid,Isosorbide
46760,Nimodipine,Molsidomine
46761,Hydroxyzine,Fexofenadine
46762,Modafinil,Idelalisib
46763,Chlorthalidone,Dexketoprofen
46764,Losartan,Mifepristone
46765,Deferasirox,Roflumilast
46766,Bendroflumethiazide,Tadalafil
46767,Tenofovir disoproxil,Ketoprofen
46768,Kanamycin,Cefotetan
46769,Duloxetine,
46770,Voriconazole,Flunarizine
46771,Methadone,Desipramine
46772,Nalbuphine,Paraldehyde
46773,Posaconazole,Fosamprenavir
46774,Carteolol,Ruxolitinib
46775,Metformin,Diazoxide
46776,Cefotaxime,Spectinomycin
46777,Primidone,Trabectedin
46778,Scopolamine,Suvorexant
46779,Indacaterol,Betahistine
46780,Tenofovir disoproxil,Ibuprofen
46781,Lapatinib,Pazopanib
46782,Nilotinib,Pazopanib
46783,Atomoxetine,Terbutaline
46784,Sulpiride,Phendimetrazine
46785,Temazepam,Azelastine
46786,Ciprofloxacin,Aluminum hydroxide
46787,Nelfinavir,Mefloquine
46788,Trimethadione,Mefloquine
46789,Brimonidine,Linezolid
46790,Vancomycin,Ketoprofen
46791,Pindolol,Bretylium
46792,Clozapine,Obinutuzumab
46793,Triamterene,Potassium Iodide
46794,Fluocinonide,Deferasirox
46795,Ciprofloxacin,Tizanidine
46796,Hyoscyamine,Ramosetron
46797,Amoxicillin,Acenocoumarol
46798,Vindesine,Nefazodone
46799,Fosphenytoin,Vemurafenib
46800,Amiloride,Levorphanol
46801,Clemastine,Mirtazapine
46802,Dipyridamole,Carvedilol
46803,Vincristine,Verapamil
46804,Mephentermine,Dextroamphetamine
46805,Clozapine,Diazepam
46806,Tobramycin,Ibandronate
46807,Carbamazepine,Boceprevir
46808,Phenylephrine,Isoprenaline
46809,Methylphenidate,Rasagiline
46810,Paroxetine,Pomalidomide
46811,Oxandrolone,Insulin aspart
46812,Anakinra,Certolizumab pegol
46813,Doxorubicin,Diphenhydramine
46814,Mecamylamine,Hydrochlorothiazide
46815,Ganciclovir,Imipenem
46816,Rosuvastatin,Dronedarone
46817,Sulpiride,Amoxapine
46818,Clozapine,Moclobemide
46819,Nelfinavir,Sorafenib
46820,Indomethacin,Digoxin
46821,Perphenazine,Bromocriptine
46822,Methyclothiazide,Vardenafil
46823,Demeclocycline,Mipomersen
46824,Etodolac,
46825,Desipramine,Acepromazine
46826,Tesmilifene,Saxagliptin
46827,Alfuzosin,Guanfacine
46828,Amikacin,Vancomycin
46829,Armodafinil,Naphazoline
46830,Pentobarbital,Triamterene
46831,Mitotane,Repaglinide
46832,Amiloride,Pentoxifylline
46833,Buspirone,Siltuximab
46834,Dicoumarol,Lansoprazole
46835,Chlordiazepoxide,Phenelzine
46836,Phenytoin,Tolterodine
46837,Rifabutin,Bepridil
46838,Secobarbital,Spironolactone
46839,Clozapine,Mercaptopurine
46840,Itraconazole,Edoxaban
46841,Phenobarbital,Simeprevir
46842,Danazol,Pitavastatin
46843,Erythromycin,Trabectedin
46844,Quetiapine,Cimetropium
46845,Dihydrocodeine,Omega-3 fatty acids
46846,Escitalopram,Ivabradine
46847,Mitotane,Rivaroxaban
46848,Secobarbital,Trimethoprim
46849,Azithromycin,Ledipasvir
46850,Pimecrolimus,Paclitaxel
46851,Ritonavir,Sonidegib
46852,Butabarbital,Pindolol
46853,Sulpiride,Prochlorperazine
46854,Oxaprozin,Pralatrexate
46855,Botulinum toxin type A,Risperidone
46856,Esmolol,Carteolol
46857,Sildenafil,Sulfisoxazole
46858,Ropinirole,Lamotrigine
46859,Triamterene,Piroxicam
46860,Nefazodone,Ceritinib
46861,Indinavir,Lumefantrine
46862,Exemestane,Rifapentine
46863,Topiramate,Procyclidine
46864,Thalidomide,Doxepin
46865,Colestipol,Deferasirox
46866,Insulin human,Bumetanide
46867,Pentobarbital,Perampanel
46868,Pravastatin,Paroxetine
46869,Doxazosin,Perhexiline
46870,Aripiprazole,Sulconazole
46871,Botulinum toxin type A,Meclizine
46872,Metformin,Pentamidine
46873,Gemfibrozil,Agomelatine
46874,Terbutaline,Lisdexamfetamine
46875,Nelfinavir,Meperidine
46876,Rotigotine,Dexchlorpheniramine maleate
46877,Zolpidem,Clomipramine
46878,Alprazolam,Brimonidine
46879,Chlordiazepoxide,St. John's Wort
46880,Sertindole,Vilazodone
46881,Nortriptyline,Benzquinamide
46882,Pioglitazone,Insulin detemir
46883,Metyrosine,Zuclopenthixol
46884,Droperidol,Flurazepam
46885,Rosuvastatin,Simeprevir
46886,Verteporfin,Demeclocycline
46887,Indomethacin,
46888,Pemetrexed,Tiaprofenic acid
46889,Theophylline,Estazolam
46890,Insulin glargine,Nelfinavir
46891,Citalopram,Netupitant
46892,Omacetaxine mepesuccinate,Rivaroxaban
46893,Ticlopidine,Pentosan polysulfate
46894,Insulin lispro,Exenatide
46895,Droperidol,Nitrous oxide
46896,Nefazodone,Domperidone
46897,Darunavir,Rilpivirine
46898,Metyrosine,Primidone
46899,Bexarotene,Vincristine
46900,Oxazepam,Buprenorphine
46901,Lorazepam,Amoxapine
46902,Goserelin,Mefloquine
46903,Quazepam,Perampanel
46904,Cyclosporine,Netupitant
46905,Morphine,Prochlorperazine
46906,Nafcillin,Simeprevir
46907,Dronabinol,Diethylpropion
46908,Acetaminophen,Lercanidipine
46909,Tinzaparin,Omega-3 fatty acids
46910,Cyclophosphamide,Quazepam
46911,Ropinirole,Zaleplon
46912,Losartan,Nicorandil
46913,Phenmetrazine,Vilanterol
46914,Sodium bicarbonate,Ledipasvir
46915,Droperidol,Almotriptan
46916,Torasemide,Ribostamycin
46917,Aminophylline,Camazepam
46918,Haloperidol,Ergoloid mesylate
46919,Fenoprofen,Hydralazine
46920,Nifedipine,Dabrafenib
46921,Cetirizine,Mianserin
46922,Temazepam,gamma-Hydroxybutyric acid
46923,Fluconazole,Armodafinil
46924,Phenobarbital,Bosutinib
46925,Phenelzine,Eprosartan
46926,Haloperidol,Bromocriptine
46927,Nefazodone,Pranlukast
46928,Rifampicin,Sofosbuvir
46929,Colchicine,Lumacaftor
46930,Desloratadine,Thalidomide
46931,Sulpiride,Doxepin
46932,Isoflurane,Metyrosine
46933,Eszopiclone,Zolpidem
46934,Nelfinavir,Zuclopenthixol
46935,Pentazocine,Bumetanide
46936,Atropine,Umeclidinium
46937,Pentosan polysulfate,Tinzaparin
46938,Ibritumomab tiuxetan,Argatroban
46939,Tipranavir,Etravirine
46940,Dexamethasone,Deferasirox
46941,Anagrelide,
46942,Spectinomycin,Cefoxitin
46943,Flupentixol,Promethazine
46944,Fluoxetine,Procainamide
46945,Clobazam,Metyrosine
46946,Doxepin,Chlormezanone
46947,Infliximab,Etodolac
46948,Etodolac,Ridogrel
46949,Acepromazine,Tetrabenazine
46950,Fesoterodine,Eliglustat
46951,Dihydroergotamine,Sulpiride
46952,Fluoxetine,Maprotiline
46953,Rifampicin,Dienogest
46954,Alteplase,Ticlopidine
46955,Sparfloxacin,Calcium gluconate
46956,Prochlorperazine,Tapentadol
46957,Sulpiride,Tedizolid phosphate
46958,Itraconazole,Aripiprazole
46959,Trimipramine,Lithium cation
46960,Procarbazine,Domperidone
46961,Foscarnet,Amphotericin B
46962,Risperidone,Rasagiline
46963,Flunisolide,Dronedarone
46964,Moxifloxacin,Iron Dextran
46965,Insulin lispro,Rosiglitazone
46966,Mesoridazine,Isocarboxazid
46967,Bexarotene,Praziquantel
46968,Phenobarbital,Flibanserin
46969,Valsartan,Caffeine
46970,Felbamate,Orlistat
46971,Ramipril,Methohexital
46972,Tamoxifen,Edoxaban
46973,Everolimus,Nilotinib
46974,Dyphylline,Chlormezanone
46975,Thioridazine,Vortioxetine
46976,Tirofiban,Enoxaparin
46977,Telithromycin,Itraconazole
46978,Tamsulosin,Simeprevir
46979,Paroxetine,Propafenone
46980,Mequitazine,Bupropion
46981,Fluoxetine,Pentosan polysulfate
46982,Infliximab,Edoxaban
